,BLDG/RM,COURSE,CREDIT,CRN,DAY/TIME,FROM / TO,INSTR.,SECT,STATUS,SUBJ
0,SEE DEPT,Acting II,3.00,93914,,01/13/14 - 04/28/14,"Logan, G",10,OPEN,"ACA
"
1,SEE DEPT,Topics:Classical Drama/Cult II,2.00,93915,,01/13/14 - 04/28/14,"Jacobson, L",10,OPEN,"ACA
"
2,SEE DEPT,Text,2.00,93916,,01/13/14 - 04/28/14,"Logan, G",10,OPEN,"ACA
"
3,SEE DEPT,Voice and Speech II,3.00,93917,,01/13/14 - 04/28/14,"Logan, G",10,OPEN,"ACA
"
4,SEE DEPT,Movement II,2.00,93918,,01/13/14 - 04/28/14,"Logan, G",10,OPEN,"ACA
"
5,SEE DEPT,Alexander Technique II,2.00,93919,,01/13/14 - 04/28/14,"Logan, G",10,OPEN,"ACA
"
6,SEE DEPT,Stage Combat II,2.00,93920,,01/13/14 - 04/28/14,"Logan, G",10,OPEN,"ACA
"
7,SEE DEPT,Practicum IV,3.00,93921,,01/13/14 - 04/28/14,"Logan, G",10,OPEN,"ACA
"
8,,Selected Topics,1.00,95082,,01/13/14 - 04/28/14,"Logan, G",10,OPEN,"ACA
"
9,DUQUES 251,Intro Financial Accounting,3.00,91630,TR09:35AM - 10:50AM,01/13/14 - 04/28/14,"Zou, Y",10,WAITLIST,ACCY
10,DUQUES 254,Intro Financial Accounting,3.00,90003,TR11:10AM - 12:25PM,01/13/14 - 04/28/14,"Zou, Y",11,WAITLIST,ACCY
11,1957 E B12,Intro Financial Accounting,3.00,91212,TR02:20PM - 03:35PM,01/13/14 - 04/28/14,"Zou, Y",12,OPEN,ACCY
12,FNGR 222,Intro Managerial Accounting,3.00,90004,TR11:10AM - 12:25PM,01/13/14 - 04/28/14,"Linsley, C",10,WAITLIST,ACCY
13,1957 E 112,Intro Managerial Accounting,3.00,90005,MW09:35AM - 10:50AM,01/13/14 - 04/28/14,"Lancaster, S",11,WAITLIST,ACCY
14,1957 E 214,Intro Managerial Accounting,3.00,90006,TR11:10AM - 12:25PM,01/13/14 - 04/28/14,"Surprenant, D",12,WAITLIST,ACCY
15,1957 E 112,Intro Managerial Accounting,3.00,91210,MW11:10AM - 12:25PM,01/13/14 - 04/28/14,"Lancaster, S",13,WAITLIST,ACCY
16,DUQUES 255,Intro Managerial Accounting,3.00,91331,TR02:20PM - 03:35PM,01/13/14 - 04/28/14,"Tan, L",14,OPEN,ACCY
17,FNGR 221,Intro Managerial Accounting,3.00,91656,MW02:20PM - 03:35PM,01/13/14 - 04/28/14,"Linsley, C",15,WAITLIST,ACCY
18,DUQUES 152,Intro Managerial Accounting,3.00,94572,TR03:45PM - 05:00PM,01/13/14 - 04/28/14,"Tan, L",16,OPEN,ACCY
19,DUQUES 251,Intermediate Accounting 2,3.00,91632,TR03:45PM - 05:00PM,01/13/14 - 04/28/14,"Tarpley, R",10,OPEN,ACCY
20,FNGR 222,Advanced Financial&Tax; Accting,3.00,91500,TR02:20PM - 03:35PM,01/13/14 - 04/28/14,"Smith, K",10,OPEN,ACCY
21,FNGR 210,Financial Statement Analysis,3.00,92086,TR11:10AM - 12:25PM,01/13/14 - 04/28/14,"Jones, C",10,OPEN,ACCY
22,DUQUES 254,Business Law: Enterprise Org,3.00,90007,TR09:35AM - 10:50AM,01/13/14 - 04/28/14,"Moersen, L",10,OPEN,ACCY
23,DUQUES 251,Financial Accounting Capstone,3.00,91633,TR02:20PM - 03:35PM,01/13/14 - 04/28/14,"Jones, C",10,OPEN,ACCY
24,,Fund Financial Decision Making,3.00,96496,,01/13/14 - 04/28/14,,80,CANCELLED,ACCY
25,,Fund ofFinancialDecisionMaking,3.00,96505,,01/13/14 - 04/28/14,,80,CANCELLED,FINA
26,,Independent Study,3.00,90843,,01/13/14 - 04/28/14,,10,OPEN,ACCY
27,DUQUES 651,Financial Accounting,3.00,94764,W07:10PM - 09:40PM,01/13/14 - 04/28/14,"Cho, S",80,WAITLIST,ACCY
28,DUQUES 651,Financial Accounting,3.00,93366,W07:10PM - 09:40PM,01/13/14 - 04/28/14,"Cho, S",80,WAITLIST,MBAD
29,DUQUES 255,Intermediate Accounting I,3.00,95059,T07:10PM - 09:40PM,01/13/14 - 04/28/14,"Xue, Y",10,OPEN,ACCY
30,DUQUES 359,Intermediate Accounting II,3.00,97128,R07:10PM - 09:40PM,01/13/14 - 04/28/14,"Tarpley, R",10,OPEN,ACCY
31,,Intro: Africana Studies,3.00,95708,,01/13/14 - 04/28/14,,10,CANCELLED,AFST
32,BELL 108,Intro: Africana Studies,3.00,96848,TR12:45PM - 02:00PM,01/13/14 - 04/28/14,"Childs, G",80,OPEN,AFST
33,BELL 108,IntroAfricanaStudie:Slvry&Frdm;,3.00,95237,TR12:45PM - 02:00PM,01/13/14 - 04/28/14,"Childs, G",80,OPEN,HIST
